agent,profile,W,Hg,delta_guard,num_steps,num_valid_steps,num_seeds,window_violation_rate,peak_violation_rate,rate_diff,agent_guard_pass_rate,std_guard_pass_rate,guard_false_negative_rate,window_violation_with_guard_rate
pianoMPC,mild_left_weak,20,7,0.0,1059,964,5,0.3962655601659751,0.16390041493775934,0.23236514522821575,0.10477178423236515,0.8360995850622407,0.013485477178423237,0.34439834024896265
pianoMPC,mild_left_weak,5,7,0.05,1035,1015,5,0.387192118226601,0.061083743842364535,0.32610837438423645,0.17339901477832512,0.9389162561576355,0.005911330049261084,0.3399014778325123
pianoMPC,mild_left_weak,10,7,0.05,1035,990,5,0.5747474747474748,0.05757575757575758,0.5171717171717172,0.1707070707070707,0.9424242424242424,0.005050505050505051,0.5242424242424243
pianoMPC,mild_left_weak,20,7,0.05,1035,940,5,0.8021276595744681,0.059574468085106386,0.7425531914893617,0.17340425531914894,0.9404255319148936,0.005319148936170213,0.7446808510638298
pianoMPC,mild_left_weak,5,7,0.1,1030,1010,5,0.44752475247524753,0.047524752475247525,0.4,0.1712871287128713,0.9524752475247524,0.005940594059405941,0.4267326732673267
pianoMPC,mild_left_weak,10,7,0.1,1030,985,5,0.6944162436548224,0.048730964467005075,0.6456852791878173,0.1715736040609137,0.9512690355329949,0.006091370558375634,0.6639593908629442
pianoMPC,mild_left_weak,20,7,0.1,1030,935,5,0.9176470588235294,0.051336898395721926,0.8663101604278074,0.1711229946524064,0.948663101604278,0.006417112299465241,0.8705882352941177
pianoMPC,severe_left_weak,5,3,0.0,1044,1024,5,0.2578125,0.205078125,0.052734375,0.396484375,0.794921875,0.0546875,0.1787109375
pianoMPC,severe_left_weak,10,3,0.0,1044,999,5,0.46046046046046046,0.2062062062062062,0.2542542542542543,0.3913913913913914,0.7937937937937938,0.055055055055055056,0.3533533533533533
pianoMPC,severe_left_weak,20,3,0.0,1044,949,5,0.6965226554267651,0.20231822971549,0.4942044257112751,0.39199157007376184,0.79768177028451,0.05268703898840885,0.530031612223393
pianoMPC,severe_left_weak,5,3,0.05,1049,1029,5,0.5568513119533528,0.11273080660835763,0.44412050534499514,0.6219630709426628,0.8872691933916423,0.025267249757045675,0.48104956268221577
pianoMPC,severe_left_weak,10,3,0.05,1049,1004,5,0.8207171314741036,0.11553784860557768,0.7051792828685259,0.6185258964143426,0.8844621513944223,0.025896414342629483,0.7161354581673307
pianoMPC,severe_left_weak,20,3,0.05,1049,954,5,0.9758909853249476,0.11740041928721175,0.8584905660377358,0.6174004192872118,0.8825995807127882,0.025157232704402517,0.860587002096436
pianoMPC,severe_left_weak,5,3,0.1,1040,1020,5,0.5490196078431373,0.00392156862745098,0.5450980392156863,0.6598039215686274,0.996078431372549,0.000980392156862745,0.5450980392156862
pianoMPC,severe_left_weak,10,3,0.1,1040,995,5,0.7919597989949749,0.004020100502512563,0.7879396984924624,0.6592964824120603,0.9959798994974874,0.0010050251256281408,0.7879396984924623
