agent,task_name,category,transfer_strength,enforce_constraint,enable_nonstationary,num_runs,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,regret_mean,regret_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
BayesianMAB,safe-psevere_left_weak-mweak,safe,weak,True,True,10,32.507797333263646,2.62653038683602,0.0021162719367769107,0.0012972289359196767,9.054738605760743,1.2685841967262426,0.3681863662790944,0.043584428483048915,0.4858668955698948,0.01866167617294567,-1.4141715587184454,0.06364173409835848,0.04616983233723917,0.02479673423410713,0.9538301676627607,0.02479673423410713,26.899982975553332,3.5024798094529603,1.0,0.0,-41.87351381279792,8.10133143071888,0.5809643344259688,0.06653215697654447,54.0,10.069756700139283,0.5984270856879459,0.0640997633851203,54.0,10.069756700139283,54.0,10.069756700139283,41.87351381279792,-76.02317312160474,12.811975148986889,8.10133143071888
Thompson,safe-psevere_left_weak-mweak,safe,weak,True,True,10,30.808152592966984,3.925506801526894,0.005146736368974123,0.0018770126753233118,9.181515453899289,0.9630655685516967,0.4626232046786427,0.00899716791033511,0.48982766326391525,0.026422336461436918,-1.3982675943255805,0.0850032422648718,0.10154803429588662,0.026427850769880152,0.8984519657041133,0.026427850769880166,27.89238086312941,3.9225932694817818,1.0,0.0,-66.99044048636452,16.056154423807044,0.7257317267403623,0.07650102259687826,75.5,10.042410069301093,0.7117862256525134,0.06974325493081025,75.5,10.042410069301093,75.5,10.042410069301093,66.99044048636452,-104.79741917195149,9.099823726555895,16.056154423807044
PianoMPC,safe-psevere_left_weak-mmedium,safe,medium,True,True,10,40.10201256893113,1.9664000257729664,0.0032371433827574217,0.002288153114075858,8.717908027213971,1.7889558591484591,0.4764931074494658,0.018273107148261844,0.5837389086397472,0.02170921163647821,-1.3319773660306036,0.07931934056974882,0.09458939318004946,0.047388138119479443,0.9054106068199506,0.04738813811947946,20.489028165138823,3.620653377541852,1.0,0.0,-25.417492895672545,6.436080015218529,0.504405800032394,0.05489468012022604,27.8,2.7129319932501073,0.5442124266157367,0.0351937776408863,27.8,2.7129319932501073,27.8,2.7129319932501073,25.417492895672545,-36.90491101789659,2.965995097564601,6.436080015218529
CCB-DF,safe-psevere_left_weak-mmedium,safe,medium,True,True,10,32.67803206601678,3.80756991321277,0.004496499407305782,0.0028957100945747826,9.23432766020547,1.1035877178775433,0.4461254508045294,0.026788171370479893,0.4817896004993,0.028253460740852002,-1.428577154539229,0.09072965332436891,0.10200608441249559,0.046086321281976185,0.8979939155875044,0.04608632128197617,27.510119296457212,4.350363968429052,1.0,0.0,-37.078898510483064,10.472160006692345,0.7032239955934646,0.08830765597091274,45.5,7.915175298121956,0.7142442953693863,0.05652633732186136,45.5,7.915175298121956,45.5,7.915175298121956,37.078898510483064,-64.37967543100903,8.401771266644614,10.472160006692345
BayesianMAB,safe-psevere_left_weak-mmedium,safe,medium,True,True,10,31.028631289700492,3.708505630534268,0.002820215068549829,0.001873716731862232,8.698337881850465,1.2318712922471142,0.37954815168576045,0.07336524445215013,0.5133531176959186,0.03610829662455211,-1.33452636099111,0.06497249877456071,0.08350817731057081,0.047201528931795536,0.916491822689429,0.047201528931795564,25.796928451882792,2.918412845254279,1.0,0.0,-31.71612260644904,13.93698046353199,0.6171184539612521,0.059615315248665354,36.2,5.344155686354955,0.6616981383476869,0.04796573557079375,36.2,5.344155686354955,36.2,5.344155686354955,31.71612260644904,-48.067261508544014,5.5239140813029,13.93698046353199
Thompson,safe-psevere_left_weak-mmedium,safe,medium,True,True,10,27.906695973250855,4.4472237004891015,0.004697815095423842,0.002675576747446491,8.204493288547738,0.4913232585359255,0.4516425417521809,0.026252949928204268,0.5424084751095511,0.03702078729759721,-1.2450562219707144,0.1081179873651454,0.09804826134189604,0.04459785699807098,0.901951738658104,0.04459785699807097,29.960649452801686,3.3397572893971965,1.0,0.0,-42.15794797240655,11.506204679041389,0.7597420323161921,0.1026240620516444,47.6,9.8812954616285,0.7590839001139364,0.0652405943008972,47.6,9.8812954616285,47.6,9.8812954616285,42.15794797240655,-58.35289305099125,8.034337401905965,11.506204679041389
PianoMPC,safe-psevere_left_weak-mstrong,safe,strong,True,True,10,43.463359079531216,2.997198282949261,0.0015805701754386084,0.0017249019854525972,8.499712389402292,1.2376107265469083,0.4475805994152048,0.016884190855144626,0.6096603733405366,0.01684385132076656,-1.3038108148082688,0.06085524960264356,0.08225877192982455,0.04613030730025415,0.9177412280701756,0.04613030730025416,19.77858584667093,2.6712403404286347,1.0,0.0,-18.206083347489994,7.283749259322302,0.4271786529562556,0.04003832721833199,17.0,1.8439088914585775,0.5314166484725728,0.014640068922815745,17.0,1.8439088914585775,17.0,1.8439088914585775,18.206083347489994,-22.114297148411637,2.1600222793060437,7.283749259322302
CCB-DF,safe-psevere_left_weak-mstrong,safe,strong,True,True,10,34.08568260465612,3.0308117188126253,0.0056540037039918755,0.002429496830329116,9.393064982752566,0.9358461250457403,0.4291654441631677,0.030705216258228602,0.48519871032196926,0.02357044896079897,-1.4343241138111373,0.06708141030402419,0.09724524929290966,0.04749471604944867,0.9027547507070904,0.047494716049448674,27.59102298241657,2.8726346153267874,1.0,0.0,-28.816671897715924,7.303785375101541,0.64945701251043,0.08520642669364821,28.5,4.652956049652737,0.7049260314079643,0.04828442185885253,28.5,4.652956049652737,28.5,4.652956049652737,28.816671897715924,-40.60506135901528,4.9497039421593945,7.303785375101541
BayesianMAB,safe-psevere_left_weak-mstrong,safe,strong,True,True,10,30.619710266483406,3.5552833682021787,0.004079170434077362,0.0031133853083751034,9.101691730816624,1.0441847682226362,0.4282368596233358,0.08009265602787058,0.5605673385854099,0.0522686955999447,-1.2600554131397463,0.11532139513289923,0.07975125495072304,0.05299050716399571,0.920248745049277,0.05299050716399572,29.045837528674944,2.610734134198921,1.0,0.0,-27.85152951182467,8.64617561700582,0.6651300751614977,0.1154914107239374,30.3,8.798295289429651,0.7278636038122303,0.06731808984747976,30.3,8.798295289429651,30.3,8.798295289429651,27.85152951182467,-37.740426201256795,9.995687781456608,8.64617561700582
Thompson,safe-psevere_left_weak-mstrong,safe,strong,True,True,10,31.726269745347217,5.946228609224722,0.005181160828187624,0.002934578467228389,8.814203447841985,1.4746913660715795,0.448088787841623,0.029669003802260743,0.5489740170772104,0.036276621882365724,-1.2820061905049187,0.10258365994462634,0.10521630887409686,0.03972911800972698,0.8947836911259032,0.039729118009727,27.35306040582484,4.175983740186962,1.0,0.0,-29.10946579233243,11.042527834323286,0.6481556840498774,0.16299234168457188,28.3,9.252567211320327,0.7081789347884182,0.09565029338653512,28.3,9.252567211320327,28.3,9.252567211320327,29.10946579233243,-35.40365757402156,9.161661753736924,11.042527834323286
