param_name,scale,agent,metric,value_mean,value_std,n_seeds
eta_forget,0.15,bayesianmab,learn_slope,0.0021,0.0014,10
eta_forget,0.15,bayesianmab,ttm,69.2,42.772784701385895,10
eta_forget,0.15,ccb_df,avg_fatigue,0.5440479973180026,0.012637929904950418,10
eta_forget,0.15,ccb_df,feasible_rate,0.9144421049576599,0.01593612965350199,10
eta_forget,0.15,ccb_df,learn_slope,0.0007,0.0004,10
eta_forget,0.15,ccb_df,ttm,99.4,25.255142490633908,10
eta_forget,0.15,dqn,avg_fatigue,0.5373535994288828,0.028057223018125795,10
eta_forget,0.15,dqn,feasible_rate,0.9146053556051402,0.03793417074853866,10
eta_forget,0.15,dqn,learn_slope,0.0007,0.0008,10
eta_forget,0.15,dqn,ttm,246.2,246.77916353605616,10
eta_forget,0.15,linucb,avg_fatigue,0.561939908951866,0.006361820331919815,10
eta_forget,0.15,linucb,feasible_rate,0.9742636910864494,0.011603464264301727,10
eta_forget,0.15,linucb,learn_slope,0.0001,0.0003,10
eta_forget,0.15,linucb,ttm,356.9,152.28587882298507,10
eta_forget,0.15,pianoMPC,avg_fatigue,0.5678948665967416,0.02116475373893704,10
eta_forget,0.15,pianoMPC,feasible_rate,0.8808714629930188,0.03855546861466909,10
eta_forget,0.15,pianoMPC,learn_slope,0.0034,0.0021,10
eta_forget,0.15,pianoMPC,ttm,45.9,11.87387421564204,10
eta_forget,0.15,safe_ac,avg_fatigue,0.5390126107783602,0.03590698256861255,10
eta_forget,0.15,safe_ac,feasible_rate,0.916597499597043,0.043871103312546636,10
eta_forget,0.15,safe_ac,learn_slope,0.0013,0.0008,10
eta_forget,0.15,safe_ac,ttm,78.1,27.67449688391422,10
eta_forget,0.15,thompson,avg_fatigue,0.5466808481765076,0.020748783184562334,10
eta_forget,0.15,thompson,feasible_rate,0.9107625385930739,0.03472670273587717,10
eta_forget,0.15,thompson,learn_slope,0.001,0.0009,10
eta_forget,0.15,thompson,ttm,110.2,69.99968253896269,10
eta_forget,0.3,autocurriculum,avg_fatigue,0.5278251325498562,0.007988665628621815,10
