param_name,scale,agent,metric,value,seed,profile,eta_forget_base,eta_forget_eff,gamma_f_base,gamma_f_eff,kappa_base,kappa_eff
eta_forget,-0.15,linucb,learn_slope,0.0,583,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,ttm,59.0,680,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,feasible_rate,0.9661016949152542,680,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,avg_fatigue,0.555271186440678,680,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,learn_slope,0.001694915254237288,680,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,ttm,600.0,777,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,feasible_rate,0.9733333333333334,777,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,avg_fatigue,0.5592250354544208,777,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,learn_slope,0.0,777,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,ttm,236.0,874,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,feasible_rate,0.9661016949152542,874,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,avg_fatigue,0.5644616317796607,874,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,learn_slope,0.00010727311735679038,874,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,0.0,linucb,ttm,206.0,1,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,feasible_rate,0.970873786407767,1,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,avg_fatigue,0.5736449679611645,1,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,learn_slope,0.00014070634585619808,1,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,ttm,173.0,98,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,feasible_rate,0.9884393063583815,98,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,avg_fatigue,0.5447559248554913,98,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,learn_slope,0.00019932230416583617,98,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,ttm,284.0,195,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,feasible_rate,0.9859154929577465,195,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,avg_fatigue,0.5573504109295769,195,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,learn_slope,7.412898443291327e-05,195,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,ttm,485.0,292,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,feasible_rate,0.977319587628866,292,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,avg_fatigue,0.558901398416796,292,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,learn_slope,2.545500827287769e-05,292,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,ttm,266.0,389,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,feasible_rate,0.9661654135338346,389,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,avg_fatigue,0.5609910678571429,389,balanced,0.02,0.02,NA,NA,NA,NA
eta_forget,0.0,linucb,learn_slope,8.448086508405846e-05,389,balanced,0.02,0.02,NA,NA,NA,NA
