scenario,agent,num_runs,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,time_to_mastery_mean,time_to_mastery_std
transfer_x0.6,LinUCB,5,0.0005195615711264184,0.00019389750799601226,0.5110967054394949,0.11179866540545187,0.027223095159387534,0.018821408182491638,0.9727769048406124,0.01882140818249152,78.06666666666666,14.824565736718972
transfer_x0.6,Thompson,5,0.004922288645734582,0.0006597351931107896,0.505031790062687,0.1117130223912182,0.09618930603951208,0.022682291582086386,0.9038106939604879,0.02268229158208646,72.66666666666667,12.824824573928813
transfer_x0.7,PianoMPC,5,0.003763993329726928,0.0034859870086570957,0.5281095767490145,0.04939826822492265,0.10870395180368507,0.07069143979292965,0.891296048196315,0.07069143979292977,38.199999999999996,8.489792765126525
transfer_x0.7,BayesianMAB,5,0.004391325677377471,0.0035876127315837524,0.4395672358044323,0.2008042260520129,0.08446612566538166,0.06963809326412117,0.9155338743346183,0.06963809326412124,47.800000000000004,9.465836005331514
transfer_x0.7,CCB-DF,5,0.004368853031501151,0.0034248648207069877,0.4793796307332265,0.13894609559568005,0.07935297070794124,0.05070094676455731,0.9206470292920589,0.0507009467645574,72.53333333333335,13.563786207830626
transfer_x0.7,LinUCB,5,0.000627368735600801,0.00025291605969959857,0.5053500071625573,0.12851906182864134,0.02425622617566109,0.012645746706057871,0.975743773824339,0.012645746706057913,64.73333333333333,15.21082235789315
transfer_x0.7,Thompson,5,0.004785005838842592,0.0021522912994175318,0.493071334844017,0.13211955252251936,0.0933949271090404,0.04525238970372168,0.9066050728909595,0.045252389703721876,53.46666666666667,17.355810541046292
transfer_x0.8,PianoMPC,5,0.0036643214214068472,0.0019454858677305465,0.5120378687622679,0.06007723777716967,0.1018378865968999,0.00926598071712977,0.8981621134031,0.009265980717129812,31.933333333333337,9.509197826452143
transfer_x0.8,BayesianMAB,5,0.004644164393689142,0.0024834069724959432,0.43366697011441707,0.07961645995660126,0.08824475284195755,0.031480068724542835,0.9117552471580425,0.0314800687245426,46.333333333333336,8.077586731554804
transfer_x0.8,CCB-DF,5,0.003619606724343662,0.002946670216830865,0.4882529713261543,0.14861616060894475,0.07779393170482123,0.045283512936048,0.9222060682951788,0.04528351293604796,57.199999999999996,18.87290827238448
transfer_x0.8,LinUCB,5,0.0007627877370150507,0.00012112417647652305,0.5146754702630884,0.11855932792494175,0.03365469506622728,0.023104907371453227,0.9663453049337729,0.023104907371453133,52.53333333333333,18.966409052737333
transfer_x0.8,Thompson,5,0.004438671611975379,0.004729608781409549,0.49318444979706405,0.11586978658242494,0.09122200912142737,0.05601051786698499,0.9087779908785727,0.056010517866984987,54.199999999999996,13.93776153391863
transfer_x0.9,PianoMPC,5,0.0032060802983484224,0.0024350440457211373,0.5085811703280195,0.040466833699249236,0.09598253381857169,0.020103010776282976,0.9040174661814283,0.020103010776282973,29.066666666666666,3.4896019740108026
transfer_x0.9,BayesianMAB,5,0.0024017702907712236,0.0015574628027935323,0.4045114974266508,0.16306447433480625,0.054603388714829865,0.03644779506588896,0.94539661128517,0.03644779506588887,41.53333333333333,3.5941389452154766
transfer_x0.9,CCB-DF,5,0.003606772699459872,0.0004872928072920298,0.47869532723607616,0.09865447396963542,0.0707659621615657,0.01972045775944,0.9292340378384343,0.019720457759439893,50.06666666666666,20.486732555871576
