scenario,agent,num_runs,guard_delta,safety_margin,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,guard_replacement_rate_mean,guard_replacement_rate_std,proposed_step_cap_violation_rate_mean,proposed_step_cap_violation_rate_std,time_to_mastery_mean,time_to_mastery_std
strict_margin_008,Thompson,5,0.08,0.08,0.0060080238505935,0.005027454268038339,0.4928106982140495,0.12432043962739316,0.10642418868038062,0.08782485129021388,0.8935758113196193,0.0878248512902137,0.22802368119705582,0.042365258145666704,0.4157519706358716,0.1006193414030029,39.333333333333336,5.4726254785877035
strict_margin_008,Safe-AC,5,0.08,0.08,0.003678533420276693,0.00301833880768385,0.45585537924140257,0.11938771721287836,0.07926592899505994,0.05056383862265643,0.9207340710049401,0.050563838622656364,0.19459196469805048,0.007410983748780804,0.350553605190633,0.06442644358832177,41.800000000000004,8.489792765126525
strict_margin_010,PianoMPC,5,0.08,0.1,0.0020913880616639153,0.0032081393688627603,0.48022692264880223,0.01768604080257013,0.07206461564339077,0.06009633112950477,0.927935384356609,0.06009633112950461,0.013119658119658118,0.007738552690835657,0.2919222178268462,0.11248658764594778,24.266666666666666,6.290969424128159
strict_margin_010,BayesianMAB,5,0.08,0.1,0.0037177308849465737,0.0021710131042823274,0.45481751911701035,0.15292540017264053,0.08846361735577422,0.03465453090074065,0.9115363826442259,0.03465453090074056,0.1750445805961802,0.05976695423657044,0.3748818591873287,0.1729008041645367,29.066666666666666,3.035666426839787
strict_margin_010,CCB-DF,5,0.08,0.1,0.004626871720618844,0.0013510530767425325,0.47088783370424325,0.09768899174080577,0.09429056112377508,0.007663578195746546,0.9057094388762249,0.0076635781957464484,0.29184658565094784,0.03109769328624173,0.47704991852093226,0.045890436985490064,47.4,0.9936550846878147
strict_margin_010,LinUCB,5,0.08,0.1,0.00016919470324361615,0.00027169934154868547,0.4312475810237872,0.11027402928236939,0.00691374145178493,0.009068615241477678,0.9930862585482151,0.009068615241477508,0.16319042408798856,0.008805623280789156,0.2555105744528899,0.024013631653460453,47.800000000000004,14.629019280966888
strict_margin_010,Thompson,5,0.08,0.1,0.003344265229034906,0.0048117441161082295,0.4578250245880035,0.15909305128580137,0.06618081183383613,0.0841733889557098,0.9338191881661638,0.08417338895570978,0.22507951138265014,0.008643423776244967,0.4075574092545788,0.1572876309878434,37.2,12.773396498802274
strict_margin_010,Safe-AC,5,0.08,0.1,0.004234167419404454,0.0030401749278789127,0.4556876223058159,0.13439646405740413,0.08858830516588816,0.03853205897649086,0.9114116948341119,0.038532058976490854,0.20845481264069465,0.010967270101894924,0.39136808583238186,0.08912806539334983,40.06666666666667,4.1666427349223705
strict_delta005_margin008,PianoMPC,5,0.05,0.08,0.0031529725583059227,0.0015616192364367944,0.48274463030615894,0.041035398860197525,0.09485896939555477,0.03613121949502501,0.9051410306044453,0.036131219495025096,0.018179956749062438,0.008566671635813686,0.24937397621950466,0.06318891096056557,25.46666666666667,9.76532618191691
strict_delta005_margin008,BayesianMAB,5,0.05,0.08,0.00197604072490332,0.0015698163810112262,0.4213172758799449,0.1537501396274825,0.05467549561040421,0.031702633752294714,0.9453245043895958,0.031702633752294616,0.14277019434253638,0.04503142102744943,0.2798374778252853,0.10463885252890545,30.933333333333337,13.232163180893846
