scenario,scenario_description,agent,profile,num_runs,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,mastery_rate,regret_mean,regret_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
nominal,Unperturbed PianoGym environment.,LinUCB,severe_left_weak,10,30.21917138598087,3.1704935638389844,0.0003720145582678318,0.0004103398546841675,8.73406233977064,1.6429197582191724,0.4589102386259466,0.007017424294686684,0.5168350893751059,0.025309857585703827,-1.3304398745108936,0.0885632562158426,0.030175851155882488,0.028235174591537553,0.9698241488441175,0.028235174591537553,28.988215331612743,4.134451495246833,1.0,0.0,1.0,-50.080154708191095,12.451399471513623,0.7791396771648521,0.05925527606642022,51.4,7.927168473042565,0.7735365040813111,0.03753175217746671,51.4,7.927168473042565,51.4,7.927168473042565,50.080154708191095,-67.8478435697656,7.458180111741029,12.451399471513623
nominal,Unperturbed PianoGym environment.,Thompson,balanced,10,27.89670852873031,2.28703919909777,0.005150785085190565,0.0027326115354852705,7.248880099827453,0.8994720851656964,0.5518224014524492,0.019196197241097508,0.5512981810740818,0.014757060116504355,-1.2030539447615287,0.04936033219699271,0.09647938659262702,0.039349282843009405,0.903520613407373,0.039349282843009405,29.065888160110823,2.765791355154432,1.0,0.0,1.0,-38.05615624724384,7.569212929996944,0.6252825662111838,0.06274111620631671,42.4,6.359245238233859,0.6927733839401828,0.05155794298081578,42.4,6.359245238233859,42.4,6.359245238233859,38.05615624724384,-50.75495940576421,6.045136279244757,7.569212929996944
nominal,Unperturbed PianoGym environment.,Thompson,mild_left_weak,10,28.236296809609712,5.3399549002468225,0.004935868395783011,0.0029647555348824087,8.357267103605233,1.1169029572214066,0.48575069806590204,0.042695070784750495,0.5369905740506169,0.03036254496110408,-1.2599341482912823,0.11813151885387094,0.09631536105682215,0.048442514374433324,0.9036846389431779,0.04844251437443332,28.3780952641544,3.722313267060578,1.0,0.0,1.0,-42.13134616867006,15.034247974337616,0.671650691762476,0.12676535643507317,45.2,12.726350615946426,0.707460587760184,0.08783427375644946,45.2,12.726350615946426,45.2,12.726350615946426,42.13134616867006,-55.66179367999102,11.6646079703492,15.034247974337616
nominal,Unperturbed PianoGym environment.,Thompson,severe_left_weak,10,28.73409277187909,3.6071305881472173,0.004406666253326095,0.0023650709964882625,8.39642708834054,1.4204136238645608,0.44487299752218357,0.027505101554343107,0.5263758042162588,0.031254062390902684,-1.2861998244497719,0.09540632219211927,0.07559489395231084,0.039705640368251055,0.9244051060476892,0.03970564036825104,29.461094335685534,4.32885325745751,1.0,0.0,1.0,-41.07468685770615,10.663187893232761,0.7611933616473299,0.06751525400523178,47.4,6.248199740725323,0.7759800374958673,0.04266272073946911,47.4,6.248199740725323,47.4,6.248199740725323,41.07468685770615,-60.39882047839241,4.0913809532783825,10.663187893232761
observation_noise_x3,"Async, dominance, fatigue, retention, and latent-skill observation noise tripled.",PianoMPC,balanced,10,35.33784335418742,3.885453415614954,0.0027085243459512866,0.0031236008030003258,19.082908367814543,2.4050375606986716,0.5035473675616106,0.03876260793349159,0.6723009217048544,0.03193199938173223,-1.4178092008255736,0.08204973713525857,0.049155622707244474,0.036451464014980235,0.9508443772927555,0.036451464014980235,21.86820915491988,6.876140998470672,1.0,0.0,1.0,-21.495889123698362,17.659912990594886,0.5175945324121508,0.08215816944325353,61.3,29.24739304621867,0.5288737573987413,0.06223462481968578,61.3,29.24739304621867,61.3,29.24739304621867,21.495889123698362,-85.50424543717092,37.19602753595473,17.659912990594886
observation_noise_x3,"Async, dominance, fatigue, retention, and latent-skill observation noise tripled.",PianoMPC,mild_left_weak,10,33.09249541859186,3.4415629705360593,0.003502201787747298,0.004080488166776648,20.169103665493186,1.312684414184316,0.46850089523922794,0.03775637368057495,0.6815126415451929,0.03557663858748621,-1.4056172972323608,0.08073256224026876,0.05994020030984587,0.05598617635694334,0.9400597996901542,0.05598617635694333,25.587299774583038,7.044985324641855,1.0,0.0,1.0,-25.00090679556665,6.761004666120844,0.6142080434202816,0.07404342858445653,69.3,31.94072635366954,0.5806079640404815,0.05717860219410848,69.3,31.94072635366954,69.3,31.94072635366954,25.00090679556665,-95.78440542876885,41.41137999064344,6.761004666120844
observation_noise_x3,"Async, dominance, fatigue, retention, and latent-skill observation noise tripled.",PianoMPC,severe_left_weak,10,39.05004423892201,4.550223514845143,0.002876416925100353,0.0021150994430131262,19.07104198764042,2.468908257605967,0.4437459396996303,0.05425220729595693,0.6346857195591181,0.04897253167736364,-1.514452219807398,0.10734185301944017,0.07801359034259085,0.04303575947957206,0.9219864096574092,0.04303575947957205,23.47033502506843,5.217627536651093,1.0,0.0,1.0,-24.661522749242316,11.309275303693221,0.6120763093383994,0.10409415018470847,50.7,26.00788342022472,0.5893356033004771,0.058776536360569176,50.7,26.00788342022472,50.7,26.00788342022472,24.661522749242316,-74.64607064845154,34.271496436429615,11.309275303693221
observation_noise_x3,"Async, dominance, fatigue, retention, and latent-skill observation noise tripled.",BayesianMAB,balanced,10,23.19098939288361,4.436083006882924,0.0037867539205728245,0.0027004633978405302,19.51993967581411,1.7876118090949624,0.5085536146865293,0.03129972110418808,0.6296096322908656,0.02709525821951971,-1.340970568362172,0.07919453424319511,0.05465152624377585,0.032383563549582765,0.9453484737562242,0.03238356354958276,24.656398045726366,6.962407073219506,1.0,0.0,1.0,-36.302485381490946,14.498592942113323,0.6954200616655364,0.1151875446445771,77.0,33.214454684670045,0.7088718032170289,0.06747923784747417,77.0,33.214454684670045,77.0,33.214454684670045,36.302485381490946,-101.90768795401318,41.11762159149909,14.498592942113323
observation_noise_x3,"Async, dominance, fatigue, retention, and latent-skill observation noise tripled.",BayesianMAB,mild_left_weak,10,25.428653629395036,2.792285377718907,0.005326358235640174,0.0013022985411922914,19.149300885402717,2.0905950566211327,0.48234353036223176,0.020823273021474704,0.623825428147423,0.03421014560656314,-1.3712315532981656,0.08893296526084789,0.0939735226130178,0.02312262783283159,0.9060264773869822,0.02312262783283159,25.54978795662507,7.646848644856307,1.0,0.0,1.0,-40.68487415013796,13.732055285091601,0.806221527280826,0.047378676377752046,76.2,19.332873557751316,0.769921427378021,0.03664022281993631,76.2,19.332873557751316,76.2,19.332873557751316,40.68487415013796,-103.85967094853565,24.210609380166975,13.732055285091601
observation_noise_x3,"Async, dominance, fatigue, retention, and latent-skill observation noise tripled.",BayesianMAB,severe_left_weak,10,30.38347297192168,3.068668948329761,0.003736399310411255,0.002268189731011682,20.297627196655828,2.838796231882223,0.41042760528563405,0.03674775708112082,0.5697272801473774,0.02294516165186082,-1.5368453974478056,0.09036846493550088,0.07777514419550845,0.032272894182781627,0.9222248558044915,0.03227289418278164,26.580866927871092,4.863748780940485,1.0,0.0,1.0,-34.330992474311365,9.60842610596938,0.8005820929055492,0.06137574450603171,54.8,14.524462124292244,0.794566489683806,0.040776336487954236,54.8,14.524462124292244,54.8,14.524462124292244,34.330992474311365,-83.82852233971063,20.88390522116712,9.60842610596938
